...1,Soundfile,Dataset,LowFreqHz,HighFreqHz,FileEndSec,UTC,FileBeginSec,ClassSpecies,KW,KW_certain,Ecotype,Provider,AnnotationLevel,FilePath,FileOk,CallType,ID,CenterTime,Duration,CalltypeCategory,HasQ,CalltypeHasQ,EcotypeCertain,isPulsedCalls,Labels,HoldOut,Augmented,ShiftSec,SourceID,AugFromCT
53127,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,WVanIsl,3104.0,3328.0,94.077,2011-09-19T11:01:33Z,93.187,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,True,,37827,93.632,0.89,,False,False,False,False,Background,DCLDE_Train,False,0.0,37827,
51647,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110827_161500Z.flac,WVanIsl,3520.0,4160.0,38.577,2011-08-27T16:15:37Z,37.703,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110827_161500Z.flac,True,,36825,38.14,0.874,,False,False,False,False,Background,DCLDE_Train,False,0.0,36825,
48557,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110723_171500Z.flac,WVanIsl,3168.0,3392.0,149.686,2011-07-23T17:17:29Z,149.436,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110723_171500Z.flac,True,,35434,149.561,0.25,,False,False,False,False,Background,DCLDE_Train,False,0.0,35434,
21894,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_152100Z.flac,NorthBc,4562.5,4937.5,57.872,2013-11-29T15:21:56Z,56.672,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_152100Z.flac,True,,15934,57.272,1.2,,False,False,False,False,Background,DCLDE_Train,False,0.0,15934,
40251,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140103_043600Z.flac,NorthBc,5375.0,5968.75,185.807,2014-01-03T04:39:05Z,185.28,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140103_043600Z.flac,True,,29917,185.5435,0.527,,False,False,False,False,Background,DCLDE_Train,False,0.0,29917,
53182,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,WVanIsl,4000.0,4352.0,225.874,2011-09-19T11:03:44Z,224.874,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,True,,37882,225.374,1.0,,False,False,False,False,Background,DCLDE_Train,False,0.0,37882,
21182,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_132100Z.flac,NorthBc,4031.25,4187.5,226.031,2013-11-29T13:24:45Z,225.519,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_132100Z.flac,True,,15222,225.775,0.512,,False,False,False,False,Background,DCLDE_Train,False,0.0,15222,
33127,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_132100Z.flac,NorthBc,1875.0,2218.75,155.472,2013-12-07T13:23:34Z,154.655,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_132100Z.flac,True,,24855,155.0635,0.817,,False,False,False,False,Background,DCLDE_Train,False,0.0,24855,
53961,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110929_104500Z.flac,WVanIsl,3104.0,3424.0,198.766,2011-09-29T10:48:18Z,198.453,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110929_104500Z.flac,True,,38515,198.6095,0.313,,False,False,False,False,Background,DCLDE_Train,False,0.0,38515,
40739,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140104_073600Z.flac,NorthBc,1343.75,1843.75,250.56,2014-01-04T07:40:10Z,250.272,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140104_073600Z.flac,True,,30317,250.416,0.288,,False,False,False,False,Background,DCLDE_Train,False,0.0,30317,
20532,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_110600Z.flac,NorthBc,3312.5,3781.25,56.719,2013-11-29T11:06:55Z,55.631,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_110600Z.flac,True,,14885,56.175,1.088,,False,False,False,False,Background,DCLDE_Train,False,0.0,14885,
158754,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20120522_223000Z.flac,WVanIsl,4416.0,4672.0,75.109,2012-05-22T22:31:14Z,74.843,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20120522_223000Z.flac,True,,121128,74.976,0.266,,False,False,False,False,Background,DCLDE_Train,False,0.0,121128,
34207,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131208_122100Z.flac,NorthBc,5031.25,5500.0,158.143,2013-12-08T12:23:37Z,157.855,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131208_122100Z.flac,True,,25666,157.999,0.288,,False,False,False,False,Background,DCLDE_Train,False,0.0,25666,
33414,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_140600Z.flac,NorthBc,6343.75,6656.25,265.007,2013-12-07T14:10:24Z,264.703,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_140600Z.flac,True,,25043,264.855,0.304,,False,False,False,False,Background,DCLDE_Train,False,0.0,25043,
10596,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131114_123600Z.flac,NorthBc,843.75,1281.25,6.544,2013-11-14T12:36:06Z,6.272,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131114_123600Z.flac,True,,7364,6.408,0.272,,False,False,False,False,Background,DCLDE_Train,False,0.0,7364,
53300,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110922_160000Z.flac,WVanIsl,2624.0,2976.0,14.248,2011-09-22T16:00:13Z,13.936,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110922_160000Z.flac,True,,37986,14.092,0.312,,False,False,False,False,Background,DCLDE_Train,False,0.0,37986,
43847,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140125_162430Z.flac,NorthBc,6031.25,6125.0,0.687,2014-01-25T16:24:30Z,0.431,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140125_162430Z.flac,True,,32173,0.559,0.256,,False,False,False,False,Background,DCLDE_Train,False,0.0,32173,
43876,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140126_022430Z.flac,NorthBc,7281.25,7468.75,0.943,2014-01-26T02:24:30Z,0.655,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140126_022430Z.flac,True,,32196,0.799,0.288,,False,False,False,False,Background,DCLDE_Train,False,0.0,32196,
32628,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_103600Z.flac,NorthBc,4062.5,4281.25,278.975,2013-12-07T10:40:38Z,278.719,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_103600Z.flac,True,,24415,278.847,0.256,,False,False,False,False,Background,DCLDE_Train,False,0.0,24415,
39342,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131231_033600Z.flac,NorthBc,812.5,1031.25,211.264,2013-12-31T03:39:30Z,210.976,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131231_033600Z.flac,True,,29099,211.12,0.288,,False,False,False,False,Background,DCLDE_Train,False,0.0,29099,
44081,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140128_122430Z.flac,NorthBc,875.0,1093.75,25.823,2014-01-28T12:24:55Z,25.551,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140128_122430Z.flac,True,,32349,25.687,0.272,,False,False,False,False,Background,DCLDE_Train,False,0.0,32349,
56903,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20111021_060000Z.flac,WVanIsl,3616.0,3840.0,257.187,2011-10-21T06:04:16Z,256.874,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20111021_060000Z.flac,True,,40920,257.0305,0.313,,False,False,False,False,Background,DCLDE_Train,False,0.0,40920,
